year,variable,missing_count,count,min,max,mean
1991,MTERH_sfc,0,1495040,-19.6400146484375,5656.359375,1151.626953125
1991,wind_speed_prl,0,19435520,0.0,97.96981048583984,12.202327728271484
1991,wind_direction_prl,0,19435520,0.0,359.9999694824219,197.6199493408203
1991,wind_speed_10m,0,1495040,0.002763342810794711,22.709136962890625,3.9142966270446777
1991,wind_direction_10m,0,1495040,0.0001220703125,359.9996643066406,186.61537170410156
1991,specific_humidity,0,19435520,2.515994594887161e-07,0.05490602180361748,0.00364878517575562
1991,IWV,0,1495040,0.809691846370697,156.45887756347656,37.81779098510742
1992,HGT_prl,0,19488768,-362.1829528808594,21031.736328125,8203.85546875
1992,RH_prl,0,19488768,0.03125135973095894,100.01561737060547,38.498809814453125
1992,TMP_prl,0,19488768,185.35504150390625,324.1955871582031,251.61412048339844
1992,UGRD_prl,0,19488768,-55.906246185302734,93.5625,5.097926616668701
1992,VGRD_prl,0,19488768,-66.375,67.875,-0.09328942745923996
1992,APCP_sfc,0,1499136,0.0,322.4375,0.8777897953987122
1992,PRMSL_msl,0,1499136,97321.84375,105041.609375,100984.5234375
1992,TMP_2m,0,1499136,229.04617309570312,324.0701904296875,292.0265197753906
1992,UGRD_10m,0,1499136,-19.91728401184082,20.942094802856445,0.9274490475654602
1992,VGRD_10m,0,1499136,-23.113662719726562,21.418001174926758,0.05055428668856621
1992,LAND_sfc,0,1499136,0.0,1.0,0.62109375
1992,MTERH_sfc,0,1499136,-19.6400146484375,5656.359375,1151.6270751953125
1992,wind_speed_prl,0,19488768,0.0,94.86991119384766,12.381986618041992
1992,wind_direction_prl,0,19488768,0.0,359.9999694824219,198.3887939453125
1992,wind_speed_10m,0,1499136,0.0015670473221689463,24.6585636138916,3.9104888439178467
1992,wind_direction_10m,0,1499136,0.00048828125,359.9999084472656,186.48805236816406
1992,specific_humidity,0,19488768,7.744777121843072e-07,0.053179189562797546,0.003537642303854227
1992,IWV,0,1499136,0.9669064879417419,151.13417053222656,36.526084899902344
1993,HGT_prl,0,19435520,-353.8973083496094,21039.482421875,8206.3828125
1993,RH_prl,0,19435520,0.0010678814724087715,100.01561737060547,39.21072769165039
1993,TMP_prl,0,19435520,183.953125,324.731201171875,251.56053161621094
1993,UGRD_prl,0,19435520,-55.40277099609375,92.919189453125,5.0262932777404785
1993,VGRD_prl,0,19435520,-65.77350616455078,55.78125,0.13369938731193542
1993,APCP_sfc,0,1495040,0.0,251.65625,0.904473602771759
1993,PRMSL_msl,0,1495040,97390.3515625,104730.390625,100976.703125
1993,TMP_2m,0,1495040,229.44708251953125,323.43182373046875,292.22723388671875
1993,UGRD_10m,0,1495040,-22.098804473876953,17.700111389160156,0.9722810983657837
1993,VGRD_10m,0,1495040,-23.05303382873535,25.243865966796875,0.12258099019527435
1993,LAND_sfc,0,1495040,0.0,1.0,0.62109375
1993,MTERH_sfc,0,1495040,-19.6400146484375,5656.359375,1151.626953125
1993,wind_speed_prl,0,19435520,0.0,93.64309692382812,11.963321685791016
1993,wind_direction_prl,0,19435520,0.0,359.9999694824219,198.89698791503906
1993,wind_speed_10m,0,1495040,0.0023054631892591715,25.635379791259766,3.9087910652160645
1993,wind_direction_10m,0,1495040,3.0517578125e-05,359.9999084472656,186.29258728027344
1993,specific_humidity,0,19435520,8.595076650408373e-08,0.05592877417802811,0.003619828959926963
1993,IWV,0,1495040,0.9069189429283142,159.3185272216797,37.469085693359375
1994,HGT_prl,0,19435520,-354.2500305175781,21070.482421875,8203.5498046875
1994,RH_prl,0,19435520,0.010061663575470448,100.015625,39.732330322265625
1994,TMP_prl,0,19435520,187.71783447265625,325.3992614746094,251.58445739746094
1994,UGRD_prl,0,19435520,-55.353782653808594,87.6028060913086,4.488607406616211
1994,VGRD_prl,0,19435520,-63.48360061645508,58.605743408203125,0.29301705956459045
1994,APCP_sfc,0,1495040,0.0,274.75,0.9498909711837769
1994,PRMSL_msl,0,1495040,97220.3671875,104434.15625,100935.4765625
1994,TMP_2m,0,1495040,225.0209197998047,323.6423645019531,292.3018798828125
